DrugName,Comments,Ratings,Sentiment
Traxemic acid,"I have 20  large fibroids that have come back after two my surgeries. I have just started taking these tablets and what a huge difference it has made to my life. I can now leave the house and no more flooding. I can sleep though the night without getting up multiple times to change. No more large clots. If you bleed to death every month, get these tablets!",10,1
Traxemic acid,"Lysteda is amazing.  I have menorrhagia caused by adenomyosis.  I have dealt with disablingly heavy periods for nearly 10 years.  I usually take two days off from work and wear diapers for the first two days of my period, waking up several times throughout the night to change.  I also experience debilitating cramps and became severely anemic from the heavy bleeding.  This is my first month on Lysteda.  I just completed my third day of treatment, and this is the first normal period I have had in years - no diapers and no cramping whatsoever!  My flow was so light that I only had to change my pad a few times on the heaviest day, and had no need for tampons.  I highly recommend Lysteda.",10,1
Traxemic acid,Please be sure not to always trust advice given by a general pract. I begun taking the medication as I suffered heavy periods. I have now no periods . I have now severe health problem as my ovaries are effected from the medication . Also causing slowing and muscular problems speech and trouble thinking . Also tiredness most times not wanting to wake up. I am thankfully a mother but I did not think this could effect my chance in the  future for more children.  It completely stopped my periods and ruined my hormone levels. My count is so bad the effects are scary. Cyst have been a major cause of stomach pain and depression .,10,1
Traxemic acid,This is a terrific medication for me. I take it for excessively heavy monthly periods. Normally they are so heavy I can't leave the house for a day or two. This really has helped me to deal with the problem without taking hormones or having to have a hysterectomy. I have had no side effects whatsoever and find it very tolerable.,10,1
Traxemic acid,"This medication is life-changing! I have uterus didelphys (double uterus) so I have an extremely heavy period. I would wear a super tampon and pad at the same time and have to change them every 1-2 hours. Hormonal birth control gave me some not-so-great side effects and interacted with some other medications I was taking, so my gyn suggested this.

Thank god she did! I feel like I’m finally in control of my life again when I’m on my period- it’s light, predictable, and I don’t really have to worry about it. I’ve been using it for several months and I haven’t noticed any side effects.",10,1
Traxemic acid,This medication has been a life saver for me.  I usually bleed so bad that I can't go anywhere when I have my period. I flood the whole time!  My doctor prescribed this for my Disney Trip.  What a lifesaver!  My periods are much lighter and I have no side effects from this medication.  Love it!!,10,1
Traxemic acid,"Tranexamic acid has been a miracle for me, I have PCOS and likely endometriosis as well but am still waiting for a diagnosis on the latter. During my period I have uncontrollable mood swings (which I treat herbally with Chaste Tree- comes as vitex in health shops) and agonizing period cramps, large clots and flooding (I stand up and blood gushes out) this drug has been an absolute miracle. For the first time in 15 years with tranexamic acid I FORGOT that I had my period and it has significantly reduced the pain and amount of blood I lose. Keep in mind I have fainted from pain and low blood pressure in the shower on my period several times. Ladies at least try it, it means that I can go to work and do my uni work and get on with my life. It is the best thing for heavy periods and agonizing pain.  It made me feel a little hyper which was a nice change from praying for death. I'm Australian and its about $40 for a lot of tablets on a Doctors prescription.",10,1
Traxemic acid,First day on this med and I didn't expect it to work as fast as it did. Usually on my first day of my period I bleed so much. But even after taking the first two pills I saw the difference in blood flow. My last two pills for the day still I saw a significant decrease in blood flow. I didn't have any side affects at all my first day and time using this and hope that continues. So far this is the best medication for me and I'm happy.,10,1
Traxemic acid,"Tranexamic-Acid helped stop my irregular menstrual bleeding better than anything else did. In the past the Doctor put me on the pill and then some other medicines, but none of them worked as good as Tranexamic-Acid did at stopping it and controlling it.",10,1
Traxemic acid,I have to share my experience with tranexamic acid for heavy periods that I have had for as long as I can remember.  I would be  bleeding through two boxes of super plus tampons bleeding for 7 days and just horrible cramps sometimes most of the time during my period. I don't even leave the house because it's so heavy this tranexamic acid has been a miracle worker for me it reduce my bleeding up to 50%. I am so happy that I found this and my doctor prescribed that I had no side effects and it's amazing it has truly truly helped me and I am so grateful,10,1
Traxemic acid,My doctor just prescribed this medication for me to use until my surgery. I am to take two 650mg tablets up to 3 times daily as needed. It is to be taken only during my menstrual cycle and not to exceed 5 days. I am always nervous and reluctant to take new medications. Yesterday I took my first dose when I was experiencing an extremely heavy menstrual flow and was getting very faint. I did not expect it to work so quickly! I saw a reduction of blood flow very quickly. I have taken  only two more doses and I am still pleasantly surprised. I have noticed absolutely no side affects. ,10,1
Traxemic acid,"Dr prescribed this for heavy period, clotting due to fibroids. Used to have to change pad (no use for tampon...flow too much) every 45 minutes.

It worked within hours of taking. Now on 3rd month. First 2 cycles were heavy. Third one has been some light spotting and cramping but hardly anything! I haven't taken a single pill in over a month.

Very pleased.",10,1
Traxemic acid,"I used it for the first time....and I have spotting on a pad instead of tons of clotting and lots of bleeding.  I feel better and did not feel it caused headaches and I do get PMS migraines as before.  I would recommend it.  I had a DNC to help with my problem 3 months ago and last month I started clotting and heavy bleeding again.  My doctor told me to try this, as birth control did not do anything positive and made me feel like I am pregnant and gain weight. I am grateful this works as on the heavy bleeding clotting days I would feel emotionally slipping into real depression. I am not depressed but the bleeding seems to bring erratic mood swings. This did help as the doctor said it should. I am not worried about blood clots as I do not smoke.",10,1
Traxemic acid,I started taking this medicine Monday and by Tuesday the bleeding had stopped. I'd got very worried because my period had come 10 days early and was very heavy. The side effects I've got are headaches and diarrhea but a small price to pay to be period free for a while.,10,1
Traxemic acid,"I have had heavy periods for over a year and my doctor kept pushing and ablation. A female colleague of his had a different idea - transexamic acid. I have only used it for one cycle so far and I have my life back! Reduced period at least 60%. I had minor side effects - sudden lower left back pain one day that came and went, a fleeting mild headache and some soft stool. I stopped on day 4 vs day 5 due to the side effects and because the debilitating heavy part of Mybperiod is only 2 days a month. The only thing I have noticed after taking it is that I feel like I do right before my period used to come - heavier ... like I am retaining fluid and my lower abdomen looks bloated. I wonder if that is because the lining of my uterus is heavier.... wondering if I should only take the drug when I am going on vacation and otherwise let my body shed the entire uterine lining?!",10,1
Traxemic acid,I was bleeding very heavy with my periods which severely effected my iron levels... when I started taking these tablet found that it almost stopped the bleeding altogether so I now only take 2 tablets twice a day and works brilliantly for me and my iron levels are back up too with the help of iron tablets.,10,1
Traxemic acid,"Was prescribed this for heavy periods which were seriously affecting my day to day life. Wouldn't even book a holiday. Worked brilliantly-took for first for days of period & it has totally transformed my life. However, in last 6 months have been having painful, swollen joints. Severe knee swelling has been quite debilitating. Also, swollen fingers. I have been on these tablets for 12 months & is only explanation for these ills. (Tested for arthritis, gout & infection-all negative). Am going to speak with doctor about just taking them occasionally e.g. If necessary during holiday. Am going to see if this helps. Would recommend short term.",8,1
Traxemic acid,"I have been taking tranexamic acids for over a year for heavy menstrual bleeding from hemophilia. No side effects other than a very occasional mild headache. The drug works amazingly sometimes, down to almost no bleeding, but then some months it doesn't work at all. So for me, well worth taking for approx half the cycles when it stops the bleeding. Not sure why it's not working the other times.",10,1
Traxemic acid,"Made my life on my period so much easier, without the side effects of birth control.",10,1
Traxemic acid,Worked a lot better then Amicar with less side effects for dental work.,8,1
Traxemic acid,"I suffer from von wilabrant disorder and excessive bleeding during my periods, that can last up to 3 months. I tried this drug. Took 4 pills one set at night and another in the morning. Started having side effects the first night with lower back pains, and then in the morning started having pains in my left thigh and calve. Including swelling and stiffness in my left neck and upper back and a sharp pain in my neck that came and went. Pain in my stomach and numbness my hands and fingers. Dr. Is going to do an ultrasound to look for blood clots.",6,1
Traxemic acid,Have used it before and it works great for my heavy menstrual bleeding,9,1
Traxemic acid,Joint stiffness is worth it.,9,1
Traxemic acid,"I suffered from severe bleeding during period that would last 10 or so days and also intense cramping. (Even the Dr was surprised the severity!). The severe blood loss lead to me being anaemic. 
I was recommended tranexamic acid and it has completely changed my life. It's over halved the amount of blood lost and now my period lasts less than a week (roughly 5 days?). Couldn't survive without this anymore! 
It's also good because it can be used along with over the counter painkillers to help with cramping!",9,1
Traxemic acid,This medication has helped tremendously with my iron deficiency.,9,1
Traxemic acid,"I'm glad my doctor prescribed this medicine to me.  I was having very heavy cycles, to the point I would wear a pair of depends and 2 overnight pads in them.  I would bleed through that and the clothes I was wearing in less than 45 minutes. I have been taking TA for about a year and my cycles are more manageable.",9,1
Traxemic acid,"Used for first time and it was great with slowing down the bleeding (literally shocked at how well) and allowed me the ability to carry on with life.  The bleeding was lighter but still lasted 7 plus days.  One major concern I had was in regard to passing clots.  While normally heavy, I passed two extremely huge (much much larger than normal) clots.  Hoping a result of just first time using.",9,1
Traxemic acid,I am 45 years old and have been suffering disabling heavy periods for about 6 years now. My doctor suggested ablation for my heavy periods but I wanted to try non-surgical remedies first. This medicine is AMAZING. I take 2 pills 3 times a day for 3 days (total of 18 pills). I start on the 2nd day of my period which is the heaviest. My period dries up and is over within 4 days. I have headaches on or off this medicine during my period so I cannot say for sure whether that is a side effect. I have my life back each month.,9,1
Traxemic acid,"I'm 55 years old and hadn't had a period for 9 months then had 3 weeks of bleeding before I went to the doctor and he prescribed this medication 
 It is great!  It has basically stopped my bleeding.  Because of the risks, my Doctor suggested I stop taking it because my bleeding has stopped.  I was on it for (3 days) and he did NOT want me to go over (5) days.",9,1
Traxemic acid,"I have only used it once and I hope it works similarly next month because for the first time in years I have felt 'normal' during my period.  I was able to use regular tampons, practically no bleeding during the night (I usually have to sleep on a towel and get up multiple times).  I usually have a massive blood loss and clots that make me feel like I'm passing my liver out of my body!  I had energy again (I have anaemia due to adenomyosis/blood loss) and was able to actually go out and enjoy life.  I would recommend at least give it a try.  Like others I was unable to use the mirena coil and I was also reluctant to take the pill (hormones/mood swings/bloating).  I found this amazing - and yeah, hoping it continues as well as it did this month :)
Oh, and PS, I was only taking a half dose (I'm a bit of a worrier when it comes to medications) and it made my blood loss very light and very manageable.",9,1
Traxemic acid,"I was prescribed this to reduce my heavy periods, which had been contributing to my aneamia - I had been getting annual iron transfusions for the previous three years. I'm on two three times per day for four days. They work as in, have reduced my bleeding significantly. I have not noticed any side effects during the days I take them. Initially when I took the tablets I would keep spotting for up to 7 days but the last few months my period is all over by day 5. My periods have gone from a 28 day cycle to a 35 day cycle - so I'm assuming this is a side effect. I do get some slight pre period cramping in the 2-3 days before I get my period now, which I have not had previously.
My alternatives to taking this were getting a Mirena implant",9,1
Traxemic acid,"I have been taking tranexamic acid for my heavy periods and it’s honestly changed my life. Gone from leaking through clothes, massive clots, being anxious about the amount of blood loss all the time to a very light flow. I was prescribed mefenamic acid alongside this so with the two together I no longer have to worry about the pain or the heavy flow.",8,1
Traxemic acid,"I was prescribed Tranexamic acid because of my debilitating periods. I am 45 years old and feel like I am 14 just starting my period again. Huge blood clots, heavy flow for 4 to 5 days, just a horrible mess. I admit I was afraid of the side effects, but just after 1 day I feel alright, I feel a bit drowsy but manageable. My flow is less than half of what it used to be. I take 650mg of Motrin every 8 hours with the Transexamic, and it has been a game changer for sure. This was the first option my doctor wanted me to take, second was the IUD and last being surgery. So far I am pretty happy",8,1
Traxemic acid,"Young 30's with super heavy flow including clotting and severe cramps, for years. Gyno recommended tranexamix acid and it works great. I do experience severe cramping with diarrhea but I'm not sitting in a crime scene after putting a pad and a tampon on after 15 minutes on a short car ride, so I'd say it's a win. Hopefully that gets better as my body adjusts.
I am on other medicines for other illnesses including migraines and ulcers so that could be the interactions of the medications but nonetheless, it's an improvement.",8,1
Traxemic acid,"Very heavy period after the birth of my 4th child. Was prescribed this for the heavy bleeding two tablets  3x per day.  I don't even have to take as prescribed. Two  tablets once per day is all I needed, the bad thing is my insurance don't cover this and my doctor suggested a surgery to thin out the lining of my cervix which I am terrified to do. Once I can pay for it out of pocket I will be fine with less bleeding days and light to normal flow with no anemia.",8,1
Traxemic acid,"I've had terrible bleeding and awful pain for periods for a couple of years. This medication has stopped the bleeding , which was so bad I used to pass big clots when I bent over. The pain is still pretty bad, though not as much as before, when it had me rolling around on the floor even after I'd had max doses of paracetamol and ibruprofen at the same time, which also upset my digestive system for a week after my period was over. Misery. So things are a bit better now. My gynaecologist is monitoring things.",8,1
Traxemic acid,"I was bleeding heavy for almost a month using the super pads about 4 or 5 a day. For the first time I went to see my doc and she prescribed me tranexamic acid, it really did work for me. I didn't stop bleeding completely, but it went down to less than a normal flow, and felt more comfortable working out and just living life.

Unfortunately the heavy bleeding has come back, and I've been prescribed more except that my doctor said I can't be taking this every time because I may get blood clots in my legs and other places in my body. She recommended I look into getting a 'mirena'. I've researched it, and unfortunately you cannot become pregnant with it in you. There was no other option given. I am now wanting to see gynecologist. I wish this would go away",8,1
Traxemic acid,"The first time I used this medicine as instructed - 2 pills 3x daily. I was instructed to use for 5 days, but I did not reach day 5 because of the side effects.  This time around, I only used 2 pills on Days 1 & 2 and I definitely have experienced more side effects than I expected  - dizziness and nausea on day 1 and then diarrhea on day 2. However, it is worth it in my opinion. I did pilates today without an issue.... I could never do that with my heavy period (fibroid related)!!! Now I can pop a pill and go out to dinner an hour later without having to worry about wearing white. Huge relief.",8,1
Traxemic acid,I am in my late 40s and was experiencing very very heavy periods. I went to my primary doctor and he immediately suggested the Depo Shot that was the worst mistake I could make I bleed heavy for 3 months and I swore that I was not going back to get the next dose. This med take well over 4 months to get out of your system so the ongoing bleeding caused me Anemia. I had to see a gyno which  was a great decision because she helped me get my iron back to normal and she prescribed me Tranexamic Acid which reduces the bleeding. I am highly satisfied now because my period is now regular and it only last 3 days. I make sure to take all 3 doses for 3 days 650mg it's a lot but it definitely work well for me. I don't experience any side effects and I have been on it for 1 1/2 years. Good luck I hope this info was helpful.,8,1
Traxemic acid,I have been diagnosed with fibroids. I have been bleeding for about 6 weeks now. My previous doctor had me on a hormone called megstrol. I worked for the first month and then stopped. my bleeding is out of control. I am no my 3 day of the lysteda.  I could tell a difference right away. the bleeding slowed to the point of almost stopping. I started to become a little heavy today before I took my first dose. I hope that  this helps with the bleeding and stops it.,7,1
Traxemic acid,My OBG prescribed this because I have heavy bleeding and I would bleed for 2 weeks straight during the day and night. I'm taking iron pills. I'm happy that this medicine reduced my bleeding.  The only side effects I noticed is I had some pimples all over my back neck and face not too much and for the second month I didn't take any pills my period is still  light but it worries me it stopped on the one.,7,1
Traxemic acid,Used this tablet for 3 days for heavy periods 2 tablets 500mg When I stopped on a 3rd day I've experienced extra heavy bleeding with large clots .... I'll give it a go this month for 4 day hoping for some improvements,6,1
Traxemic acid,"I started taking these pills about a year ago. I asked my doctor if she has anything that helps heavy bleeding. She prescribed tranex acid, and for the first couple of months every thing was ok. Six months into taking the meds I started feeling my heart beat racing, it would beat so fast that it would cause me to cough or I would feel my hear beat in my throat. But I didn’t think it was the pills at first, until I skipped a month and that’s when I noticed the rapid heart beats were calming down and stopped. Then the moment I started back taking them is when it started back beating rapid again.",6,1
Traxemic acid,"I was told by my GYN that this was a very effective and safe drug. My periods we're extremely heavy. I would have a flow so heavy in a 24 hour period that most women would experience in 5 to 7 days! So I was desperate. After taking this medicine, I experienced the worst cramping if my life and migraine for 3 days AFTER I was finished. Now I have been spotting one full week after my period which has never happened before. Not for me. Will never use this again.",1,0
Traxemic acid,"I had horrible reactions to this medication which landed me back in the hospital ER twice. Nine days later my body is still struggling to get this drug out of my system. I will never take it again. If you have a reaction to it, there is no reversing it. Use caution.",1,0
Traxemic acid,"I was given this medication as I was prescribed Provera due to hyperplasia, the provera itself have made me bleed heavily for 4 weeks making me anemic so my gyne suggested tranxemic acid 1 3 times a day it's has slowed the bleeding down somewhat but not completely so doctor put me up to 2 3 times a day which I have had to put back down due to severe migraine, runny nose, chest pain and flu symptoms, I don't know what is worse, being on the toilet every half an hour or feeling so run down I can't get off the sofa!",1,0
Traxemic acid,"I have severe Adenomyosis for more than 15 years. My uterus is as big as a 4 month pregnant uterus would be. I am prescribed tranexamic acid because I have extremely heavy menstrual bleeding. I was on Norethindrone for about 56 months and then I received Lupron shot (last resort) before I started Tranexamic Acid because somehow Lupron didn't stop my bleeding even after 4 weeks. 

Tranexamic acid didn't seem to work for me. I was on 6 tablets a day and I usually take it at 8am, 4pm, and 11pm (before going to bed). My bleeding would be lighter during the day but sometime after 5pm I'd start seeing very heavy bleeding with blot clots. It's been going like this for few days and I've been to ER twice and received blood transfusion because I lost too much blood.",1,0
Traxemic acid,"Didn’t work at all for me. Was prescribed for heavy, month and a half long bleeding and it only made it worse. Now I’m soaking through a super plus tampon every hour. It messed up my vision in right eye so bad I thought I was going blind and caused pounding migraines. Waste of time and money.",1,0
Traxemic acid,"I was prescribed this medicine by my OBGyn for heavy menstrual cycles. I was hesitant to take it due to how many you had to take (2 pills 3 times a day). I wouldn't recommend this medicine to anyone. My body has not been the same since. It did lighten my flow, however, I went to the ER multiple times. I have continued heart palpitations, body aches, chest pain, SOB, horrible headaches, body shivers, numbness in limbs, nausea, dizziness, diarrhea. This medicine has totally messed me up. I stopped over 2 months ago and the symptoms still haven't stopped.",1,0
Traxemic acid,I don't want to take this medicine anymore.  The side effects are killing me.  Headache that is worse than migraine and unexplainable pain in my lower abdomen and hips.  I couldn't go to work because of pain.,2,0
Traxemic acid,"This does not work.  If anything, makes my bleeding worse.  I have suffered with very heavy periods for years, and this does nothing.  My search goes on for something else!",2,0
Traxemic acid,"Went to see my doctors about my extremely heavy periods, and was given pill after pill after pill but nothing seemed to help slow the bleeding down. I have now been on Tranexamic Acid for over 3 months and have experienced a few side effects. Some being more painful aches to joint and muscle pain. I have 2 periods a months and Dr's do not seem to care about the fact it gets so bad it is ruining my clothes, bed sheets and furniture. But theses tablets have made my normal coloured period into a funny black/grey 5 days! With huge blood clots and it seems to be getting worst. I am coming off the pills after this period and thinking of the coil.",3,0
Traxemic acid,"Let me just say last month from the evening of the 1st to the morning of the 3rd I used 50 pads !! A few tampons too ! I started lysteda on the evening of the 1st this month, yes it was lighter !! 28 pads in 2 days. Day 3 and 4 got heavier!! Today I had clotting like I've never seen in my 30 plus years of having a cycle (dollar bill size). The cramps were so bad I felt like I was in labor !! I do suffer from fibriod tumors, and anemia due to heavy bleeding . I'm having a hysterectomy next month, and my Dr wants me to take these pills again next month. I WILL NOT TAKE ANY MORE OF THESE PILLS !! NOT 1 MORE !!",3,0
Traxemic acid,Stopped my bleeding entirely but it wasn’t worth it for the side effects. I felt like my hips and back were about to cave in! Never again!,3,0
Traxemic acid,"I started this medication 3 days ago, I just took the last dose. I don't see that it's helping at all. The bleeding slows down a little during the day but it super heavy when I wake up in the morning. I was cramping before the medicine so I won't say that it's affecting that. I'm not sure I like this medicine. How many days do I need to take it before the bleeding slows completely?",3,0
Traxemic acid,"I’m 18 years old and experience extremely heavy and painful periods, my mother has endometriosis and as it is hereditary worries I may have it too.
My GP prescribed me this as a trial before the pill and during the first 3 days of me taking two 500mg tablets 3x a day, I experienced no change in the amount I was bleeding (in fact I was heavier than I've ever been on a first day) and my cramps were so bad I laid crying on the floor. It made me nauseous and I had a migraine for my whole period. My doctor said this might just be my body getting used to the drug so I tried it again for my next 3 periods and still the same result. My most recent period I decided not to take the tablets and my period was suddenly really watery however it was still heavy and had the pain again. Not sure what I’m going to do now. It works for some but I personally would not recommend",3,0
Traxemic acid,"I started taking this medication about two months ago. I decided to go with this medication because it doesn't mess with hormones and specifically helps with heavy menstrual flow. I started taking it and my flow is so much lighter. The only problem is, my cramps have become unbearable. Before I was on the medication, I never had cramps, just a very heavy flow.",3,0
Traxemic acid,I was prescribed this medicine because of heavy bleeding due to uterine fibroids. I HATE it! It made me feel crap!! I wanted to sleep all day (though I couldn't of course) made me weak and achy. It does slow down the bleeding but it wasn't worth it with the awful side effects.,4,0
Traxemic acid,"I have been using Lysteda for the last six months.  It worked great the first 3 months.  But the fourth month I started having horrible lower back pain, the cramps came back but the flow was still light.  However, the last two months, my cycle came within 2 weeks and I have my cycle again.  According to the dosage and usage, I am unsure if taking it more than 5 days is recommended.  I had my cycle for 5 days, it stopped for 1 day and started back up.  Tried contacting my GYN but couldn't.",4,0
Traxemic acid,"Bleeding heavy after having coil fitted, stopped bleading straight away after  taking first 2 tablets but second day taking tablets got severe itching on neck and chest bit scared to take anymore now",4,0
Traxemic acid,This medication was useless. It was suggested to me by my gyno to help lighten my periods. I took it exactly as prescribed 2 tabs 3x a day. I had absolutely no changes in the flow of my cycle. Very disappointed.,4,0
Traxemic acid,I had two blood transfusion and only had half the amount of blood in my body. Doctor decided to to do an ablation. I’m only 35. I started my cycle for the third time this month before surgery and he prescribed this. I took 6 650 milligrams a day and also prevara daily to stop my bleeding. It never even slowed it!!! I went into surgery on day 7 still bleeding. I am one week post op and so far the ablation has helped. I recently had a blood clot in my arm and how from the iv for surgery I think I have one in my hand. By reading this I should have never been prescribed this since I recently had a blood clot. Seriously this medicine made no difference at all and I also had trouble with my eyes. It’s like they would freeze and I couldn’t focus for a few seconds then would stop. Hasn’t happened since I stopped. I also took this for a week straight and read where you should only take it five days. Don’t waste your time.,2,0
Traxemic acid,Prescribed this for very heavy periods lasting 9 days after already having had an ablation that was not successful. Doctor didn’t want to consider a hysterectomy due to my age (39) so we tried this instead. Dosage was 2 650mg tabs 3x daily. After dose number 2 Ihad shaking and numbness in my hands and was showing potential signs of a stroke so I will not be continuing this drug.,2,0
Traxemic acid,"Horrible. Migraines and severe pelvic pain, with extremely high blood pressure. I was miserable. I recommend with inpatient hospital care inpatient only!!!!",2,0
Traxemic acid,Horrendous. I took it for heavy menstrual bleeding due to fibroids. Although my doctor knew that I am diabetic and have a family history of strokes it was still given to me. I ended up having THREE mini strokes on this bloody drug. I was unaware of the risks. Please educate doctors more about the side effects of this drug. I went through hell.,2,0
Traxemic acid,"I was prescribed this medicine for heavy periods by one of my doctors but wasn't told of the potential risks until another doctor in the same clinic told me that if it's a blood clotting medicine, it could then potentially clot your blood to cause things like stroke, etc.  I was prescribed 6 tablets a day and find that taking only one makes a big difference and my periods manageable to light.  The possible risk still makes me nervous so I take as little as I can to manage my out of control period.",5,1
Traxemic acid,"Last month, my doctor asked me to take TA for a week (2-500g/day) in order to stop my abnormal uterine bleeding. It did relieved my symptom. I am 35 years old and my period has been on a regular 28-day cycle apart from that one episode last month. What concerns me now is that my period has been late for 4 days. It's still too early to tell if it's a side effect of the med I took. All I can do at the moment is to wait for a few more days to be sure before I report back to my doctor. ",5,1
Traxemic acid,I was prescribed this medicine because of heavy bleeding due to uterine fibroids. I HATE it! It made me feel crap!! I wanted to sleep all day (though I couldn't of course) made me weak and achy. It does slow down the bleeding but it wasn't worth it with the awful side effects.,4,0
Lupron,This medicine has given me my life back. I no longer have to stay by a toilet due to extremely heavy periods that left me anemic. I no longer have pain during intercourse due to large fibroids and extremely painful periods. I was put on this medication to shrink fibroids for safer hysterectomy or until menopause kicked in. I am 49 and I have had no side effects since starting this medication.,10,1
Lupron,"I've been on Lupron since March 2015. Just had my 2nd shot. I have to tell you it's taken 100% of my nagging back pain and cramps away. I even lost 12 pounds the first shot. It started to wear out towards the end so I took the shot 2 weeks early. I had surgery May 12th to remove a huge polyp and 2 fibroid tumors  - all benign. I'm having hot flashes and some headaches, some joint pain and that's about it. These symptoms are worth the trade from previous symptoms. I only hope my doctor gives me a hysterectomy soon. She feels Lupron will shrink the fibroids outside my uterus. I'm almost 50 so she says I should hold off on the hysterectomy. I want all this done with. Good luck to all of you.",10,1
Lupron,I took this medication for 6 months due to extreme monthly bleeding caused by fibroids. I didn't have a period or spotting the entire 6 months or for 3 months after my last injection. I did not have even 1 side effect. It was a great experience. Hopefully I will have the same success with the Depo Shot!,10,1
Lupron,"I was diagnosed with a 13cm fibroid.  The doctor wanted to shrink it to be able to perform a lathroscopic hysterectomy.  I was having CONSTANT heavy bleeding for months on end, even the transamic acid wasn't slowing it down.   First drug we tried was Fibristal.  It was supposed to slow the bleeding and shrink the fibroid.  I took this for 6 months and it did ABSOLUTELY nothing.   The doctor then suggested Lupron Depot. The first week on Lupron was hard.  Bleeding was much heavier than before (which was already horrible).  But by week 2 the bleeding completely stopped.  By 5 months on Lupron my fibroid had shrunk to 11cm.  A bit of hot flashes. Some fogginess/irritability, but that's normal for me...lol",10,1
Lupron,"I can't say enough about how glad I am that I was given Lupron injections! I was being treated for heavy non-stop bleeding caused by the several large fibroids I had. I was told by 3 different Doctor's that I would definitely need to have a hysterectomy. I really had no other option. My OBGYN and the surgeon, started me on the Lupron injections 4 months ago to stop the bleeding (I had become extremely anemic and couldn't have the surgery until my blood counts came back up which would take 3 months) and to try and shrink the fibroids. After my 4th and final shot 2 weeks ago, my MRI showed that the fibroids had shrunk 75% and my surgeon discharged me today saying that I will NOT be having a hysterectomy, nor any surgery! Thank you Lupron.",10,1
